             t                      X                      Y       
 0.25200000E+01 0.27233728E+03 0.98710911E+03
 0.25300000E+01 0.26970915E+03 0.98259886E+03
 0.25400000E+01 0.26713056E+03 0.97805829E+03
 0.25500000E+01 0.26460073E+03 0.97348898E+03
 0.25600000E+01 0.26211888E+03 0.96889246E+03
 0.25700000E+01 0.25968425E+03 0.96427023E+03
 0.25800000E+01 0.25729609E+03 0.95962377E+03
 0.25900000E+01 0.25495363E+03 0.95495453E+03
 0.26000000E+01 0.25265615E+03 0.95026391E+03
 0.26100000E+01 0.25040291E+03 0.94555331E+03
 0.26200000E+01 0.24819320E+03 0.94082406E+03
 0.26300000E+01 0.24602629E+03 0.93607751E+03
 0.26400000E+01 0.24390150E+03 0.93131493E+03
 0.26500000E+01 0.24181813E+03 0.92653759E+03
 0.26600000E+01 0.23977550E+03 0.92174672E+03
 0.26700000E+01 0.23777293E+03 0.91694354E+03
 0.26800000E+01 0.23580976E+03 0.91212921E+03
 0.26900000E+01 0.23388535E+03 0.90730489E+03
 0.27000000E+01 0.23199904E+03 0.90247170E+03
 0.27100000E+01 0.23015022E+03 0.89763072E+03
 0.27200000E+01 0.22833825E+03 0.89278303E+03
 0.27300000E+01 0.22656252E+03 0.88792966E+03
 0.27400000E+01 0.22482243E+03 0.88307163E+03
 0.27500000E+01 0.22311740E+03 0.87820993E+03
 0.27600000E+01 0.22144683E+03 0.87334551E+03
 0.27700000E+01 0.21981016E+03 0.86847931E+03
 0.27800000E+01 0.21820683E+03 0.86361225E+03
 0.27900000E+01 0.21663627E+03 0.85874520E+03
 0.28000000E+01 0.21509796E+03 0.85387904E+03
 0.28100000E+01 0.21359135E+03 0.84901460E+03
 0.28200000E+01 0.21211593E+03 0.84415270E+03
 0.28300000E+01 0.21067117E+03 0.83929414E+03
 0.28400000E+01 0.20925658E+03 0.83443968E+03
 0.28500000E+01 0.20787166E+03 0.82959007E+03
 0.28600000E+01 0.20651592E+03 0.82474604E+03
 0.28700000E+01 0.20518889E+03 0.81990831E+03
 0.28800000E+01 0.20389010E+03 0.81507755E+03
 0.28900000E+01 0.20261909E+03 0.81025443E+03
 0.29000000E+01 0.20137541E+03 0.80543959E+03
 0.29100000E+01 0.20015863E+03 0.80063367E+03
 0.29200000E+01 0.19896830E+03 0.79583727E+03
 0.29300000E+01 0.19780400E+03 0.79105097E+03
 0.29400000E+01 0.19666532E+03 0.78627536E+03
 0.29500000E+01 0.19555185E+03 0.78151097E+03
 0.29600000E+01 0.19446318E+03 0.77675835E+03
 0.29700000E+01 0.19339894E+03 0.77201801E+03
 0.29800000E+01 0.19235874E+03 0.76729045E+03
 0.29900000E+01 0.19134219E+03 0.76257616E+03
 0.30000000E+01 0.19034894E+03 0.75787560E+03
 0.30100000E+01 0.18937862E+03 0.75318923E+03
 0.30200000E+01 0.18843088E+03 0.74851748E+03
 0.30300000E+01 0.18750537E+03 0.74386077E+03
 0.30400000E+01 0.18660176E+03 0.73921951E+03
 0.30500000E+01 0.18571971E+03 0.73459409E+03
 0.30600000E+01 0.18485890E+03 0.72998490E+03
 0.30700000E+01 0.18401902E+03 0.72539228E+03
 0.30800000E+01 0.18319974E+03 0.72081660E+03
 0.30900000E+01 0.18240077E+03 0.71625820E+03
 0.31000000E+01 0.18162182E+03 0.71171739E+03
 0.31100000E+01 0.18086258E+03 0.70719449E+03
 0.31200000E+01 0.18012277E+03 0.70268980E+03
 0.31300000E+01 0.17940213E+03 0.69820360E+03
 0.31400000E+01 0.17870036E+03 0.69373618E+03
 0.31500000E+01 0.17801721E+03 0.68928780E+03
 0.31600000E+01 0.17735241E+03 0.68485871E+03
 0.31700000E+01 0.17670572E+03 0.68044916E+03
 0.31800000E+01 0.17607688E+03 0.67605938E+03
 0.31900000E+01 0.17546564E+03 0.67168958E+03
 0.32000000E+01 0.17487177E+03 0.66733999E+03
 0.32100000E+01 0.17429504E+03 0.66301081E+03
 0.32200000E+01 0.17373522E+03 0.65870222E+03
 0.32300000E+01 0.17319208E+03 0.65441441E+03
 0.32400000E+01 0.17266541E+03 0.65014756E+03
 0.32500000E+01 0.17215500E+03 0.64590183E+03
